Co_Ref,Total_Renewal_Score_New,Tenure_Years,Band,call_count_window,tenure_days,price_change_ratio,days_last_call_to_renewal,call_freq_per_month
ZA5956,42.5,2.0,1,0,730.0,0.0,98.0,0.0
DX1908,45.5,15.0,2,1,5479.0,-1.0,649.0,0.2222222222222222
SP8059,44.0,11.0,13,0,4018.0,-1.0,98.0,0.0
HV7714,45.5,17.0,14,1,6209.0,-1.0,512.0,0.2222222222222222
VI1603,44.0,10.0,14,0,3652.0,-1.0,98.0,0.0
HI4830,45.5,10.0,5,1,3652.0,0.0,299.0,0.2222222222222222
DS5509,42.0,3.0,5,1,1096.0,0.0,-184.0,0.2222222222222222
SL4621,43.5,5.0,2,1,1826.0,0.0,330.0,0.2222222222222222
BZ7541,43.0,11.0,2,0,4018.0,0.0,98.0,0.0
YG4572,45.0,11.0,3,1,4018.0,0.0,633.0,0.2222222222222222
MT4732,43.5,7.0,5,0,2557.0,0.0,98.0,0.0
DT0191,44.0,3.0,4,0,1096.0,0.0,98.0,0.0
VW5801,45.5,11.0,3,0,4018.0,0.0,98.0,0.0
XY6875,43.5,2.0,1,1,730.0,0.0,299.0,0.2222222222222222
IJ1899,44.0,20.0,2,0,7305.0,0.0,98.0,0.0
XT2632,43.0,2.0,1,0,730.0,0.0,98.0,0.0
SF6692,39.5,2.0,1,0,730.0,0.0,98.0,0.0
US5617,44.5,11.0,4,1,4018.0,0.0,543.0,0.2222222222222222
CJ2785,42.5,2.0,1,1,730.0,0.0,330.0,0.2222222222222222
OU3287,43.0,8.0,1,0,2922.0,0.0,98.0,0.0
VP4177,42.0,3.0,1,0,1096.0,0.0,98.0,0.0
BA8026,41.0,11.0,1,0,4018.0,0.0,98.0,0.0
FI4049,45.5,15.0,12,0,5479.0,0.0,98.0,0.0
ZZ8433,44.0,12.0,5,0,4383.0,0.0,98.0,0.0
PP3298,45.0,13.0,3,1,4748.0,0.0,330.0,0.2222222222222222
RM0982,44.5,11.0,4,0,4018.0,0.0,98.0,0.0
OP1163,43.0,7.0,9,1,2557.0,0.0,420.0,0.2222222222222222
KI8024,45.0,13.0,2,0,4701.0,0.0,98.0,0.0
VW2207,42.0,13.0,0,0,4748.0,0.0,98.0,0.0
RO1346,42.5,2.0,1,1,730.0,0.0,451.0,0.2222222222222222
BK6626,45.5,10.0,8,1,3652.0,0.0,237.0,0.2222222222222222
DR7748,42.0,3.0,7,0,1096.0,0.0,98.0,0.0
SB0136,44.0,11.0,4,0,4018.0,0.0,98.0,0.0
QK7619,43.0,3.0,2,1,1096.0,0.0,330.0,0.2222222222222222
UE3773,43.5,3.0,3,0,1096.0,0.0,98.0,0.0
OE4439,44.0,4.0,5,0,1461.0,0.0,98.0,0.0
GM0498,44.0,10.0,1,1,3652.0,0.0,695.0,0.2222222222222222
FG8142,44.5,12.0,4,0,4383.0,0.0,98.0,0.0
