Co_Ref,crm_customer_complained,Time_to_Renewal,crm_competitors_mentioned,crm_refund_mentioned,crm_contractor_engagement,crm_customer_payment_intention,crm_membership_overdue,crm_dissatisfaction_with_support,crm_contractor_sentiment_score,Prospect_Outcome
AA0584,No,45_out,No,No,0,0,Not Discussed,0,50.0,Won
AA0641,No,14_out,Not Discussed,No,1,0,Not Discussed,0,16.666666666666668,Won
AA0784,No,14_out,Not Discussed,No,1,0,No,0,0.0,Won
AA0794,No,14_out,No,No,1,1,Yes,0,16.666666666666668,Won
AA0882,No,45_out,No,No,0,0,Not Discussed,0,50.0,Won
AA0994,No,14_out,No,No,0,0,Not Discussed,0,62.5,Won
AA1155,No,14_out,Not Discussed,No,1,0,Not Discussed,0,20.0,Won
AA1246,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AA1392,No,14_out,No,No,0,0,Yes,0,37.5,Won
AA1394,No,14_out,No,No,0,0,Not Discussed,0,43.333333333333336,Won
AA1653,No,14_out,No,No,1,0,No,0,6.666666666666667,Won
AA1664,No,14_out,No,No,0,0,Not Discussed,0,33.333333333333336,Won
AA1742,No,14_out,Not Discussed,No,0,0,Not Discussed,0,50.0,Won
AA2580,No,14_out,No,No,0,0,Not Discussed,1,40.0,Won
AA2716,No,45_out,No,No,1,0,Not Discussed,0,25.0,Won
AA2827,No,14_out,No,No,0,0,Not Discussed,1,33.333333333333336,Won
AA3164,No,45_out,No,No,0,0,No,0,70.0,Won
AA3180,No,45_out,Not Discussed,No,0,0,Not Discussed,0,33.333333333333336,Won
AA3881,No,14_out,No,No,0,0,Not Discussed,0,40.0,Won
AA4063,No,14_out,No,No,0,0,Yes,0,50.0,Won
AA4169,No,45_out,No,No,0,1,No,0,50.0,Won
AA4291,No,45_out,No,No,0,0,No,0,50.0,Won
AA4886,No,14_out,No,No,1,0,No,0,16.666666666666668,Won
AA5455,No,14_out,No,No,0,1,Not Discussed,1,35.0,Won
AA5603,No,14_out,No,No,0,0,Not Discussed,0,66.66666666666667,Won
AA5736,No,14_out,No,No,0,1,No,0,50.0,Won
AA5764,No,14_out,No,No,0,0,Not Discussed,0,66.66666666666667,Won
AA6798,No,45_out,No,No,0,0,Not Discussed,0,63.333333333333336,Won
AA6838,No,14_out,No,No,0,0,No,0,52.5,Won
AA7026,No,14_out,No,No,1,0,Yes,0,16.666666666666668,Won
AA7062,No,14_out,No,No,0,1,No,0,35.0,Churned
AA7515,No,14_out,No,No,0,0,Not Discussed,0,50.0,Won
AA7637,No,14_out,No,No,1,0,Not Discussed,0,11.666666666666666,Won
AA7809,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
AA8596,No,14_out,Not Discussed,No,1,0,Not Discussed,0,16.666666666666668,Won
AA8646,No,14_out,No,No,1,0,Not Discussed,0,12.5,Won
AA9073,No,14_out,No,No,0,0,Yes,1,30.0,Won
AA9571,No,14_out,No,No,1,0,Yes,0,25.0,Won
AA9574,No,45_out,No,No,1,0,Not Discussed,0,16.666666666666668,Churned
AA9666,No,45_out,No,No,0,0,Not Discussed,0,33.333333333333336,Won
AA9926,No,14_out,No,No,0,0,Not Discussed,0,50.0,Won
AB0137,No,45_out,No,No,1,0,Yes,0,16.666666666666668,Churned
AB0290,No,45_out,Not Discussed,No,1,0,Not Discussed,0,8.333333333333334,Won
AB0383,No,14_out,No,No,0,0,Not Discussed,0,33.333333333333336,Won
AB0407,No,14_out,No,No,1,0,Yes,0,16.666666666666668,Won
AB0551,No,pre_renewal,No,No,0,0,Yes,0,50.0,Won
AB0646,No,45_out,No,No,0,0,Yes,0,50.0,Won
AB0902,No,14_out,Not Discussed,No,0,0,Not Discussed,0,66.66666666666667,Won
AB1212,No,14_out,No,No,1,0,Not Discussed,0,16.666666666666668,Won
AB1359,Not Discussed,45_out,Not Discussed,No,1,1,Not Discussed,1,20.0,Won
AB1789,Not Discussed,Not Discussed,Not Discussed,Not Discussed,1,0,Not Discussed,0,,Churned
