Co_Ref,crm_contractor_sentiment_score,crm_agent_chase_count,Time_to_Renewal,crm_delays_in_accreditation,crm_contractor_engagement,crm_customer_payment_intention,crm_competitors_mentioned,crm_membership_overdue,crm_customer_complained,crm_dissatisfaction_with_support
AA0584,50.0,1.0,1,0,1,1,0,1,0,0
AA0641,16.666666666666668,0.6666666666666666,0,2,1,1,0,1,0,0
AA0750,50.0,1.5,1,0,1,1,0,0,0,0
AA0784,0.0,0.75,0,1,0,1,0,0,0,0
AA0794,16.666666666666668,1.6666666666666667,0,2,1,0,0,2,0,0
AA0882,50.0,2.0,1,2,1,1,0,1,0,0
AA0923,0.0,0.75,0,1,0,1,0,0,0,0
AA0994,62.5,0.0,0,0,1,1,0,1,0,0
AA1155,20.0,0.2857142857142857,0,1,0,1,0,1,0,0
AA1263,0.0,2.3333333333333335,1,2,1,1,0,1,0,0
AA1392,37.5,1.75,0,0,1,1,0,2,0,0
AA1394,43.333333333333336,1.0,0,0,1,1,0,1,0,0
AA1653,6.666666666666667,2.3333333333333335,0,2,1,1,0,0,0,0
AA1664,33.333333333333336,2.0,0,2,1,1,0,1,0,0
AA1742,50.0,1.5,0,0,1,1,0,1,0,0
AA1872,0.0,1.0,0,1,0,1,0,0,0,1
AA2580,40.0,1.5,0,0,1,1,0,1,0,0
AA2716,25.0,1.0,1,0,1,1,0,1,0,0
AA2827,33.333333333333336,2.0,0,0,1,1,0,1,0,1
AA3164,70.0,1.0,1,0,1,1,0,0,0,0
AA3180,33.333333333333336,1.0,1,0,1,1,0,1,0,0
AA3881,40.0,1.6666666666666667,0,0,1,1,0,1,0,0
AA4063,50.0,0.6666666666666666,0,0,1,2,0,2,0,0
AA4169,50.0,1.5,1,0,1,0,0,0,0,0
AA4291,50.0,2.0,1,2,1,1,0,0,0,0
AA4831,25.0,0.5,2,0,1,1,0,1,0,0
AA4886,16.666666666666668,1.6666666666666667,0,0,1,1,0,0,0,0
AA5455,35.0,1.75,0,2,1,0,0,1,0,0
AA5603,66.66666666666667,1.3333333333333333,0,2,1,1,0,1,0,0
AA5736,50.0,1.0,0,0,1,2,0,0,0,0
AA5764,66.66666666666667,1.3333333333333333,0,0,1,1,0,1,0,0
AA6798,63.333333333333336,1.3333333333333333,1,0,1,2,0,1,0,0
AA6838,52.5,0.75,0,0,1,1,0,0,0,0
AA7026,16.666666666666668,1.3333333333333333,0,2,1,1,0,2,0,0
AA7062,35.0,4.0,0,0,1,0,0,0,0,0
AA7515,50.0,1.5,0,0,1,1,0,1,0,0
AA7637,11.666666666666666,0.8333333333333334,0,0,1,1,0,1,0,0
AA7724,50.0,1.0,3,0,1,1,0,1,0,0
AA8377,25.0,1.5,1,0,0,1,0,1,0,0
AA8596,16.666666666666668,1.3333333333333333,0,0,1,1,0,1,0,0
AA8646,12.5,1.25,0,0,1,1,0,1,0,0
AA9073,30.0,1.5,0,0,1,1,0,2,0,0
AA9571,25.0,2.25,0,0,1,1,0,2,0,0
AA9574,16.666666666666668,0.6666666666666666,1,0,1,1,0,1,0,0
AA9666,33.333333333333336,1.6666666666666667,1,0,1,1,0,1,0,0
AA9926,50.0,2.3333333333333335,0,2,1,1,0,1,0,0
AB0061,12.5,0.5,3,1,0,1,0,1,0,0
AB0137,16.666666666666668,2.6666666666666665,1,2,1,1,0,2,0,0
AB0290,8.333333333333334,1.0,1,1,0,1,0,1,0,0
AB0383,33.333333333333336,0.6666666666666666,0,0,1,1,0,1,0,0
AB0407,16.666666666666668,1.0,0,2,1,1,0,2,0,0
AB0551,50.0,0.0,2,0,1,2,0,2,0,0
AB0646,50.0,1.0,1,0,1,2,0,2,0,0
AB0902,66.66666666666667,0.6666666666666666,0,2,1,1,0,1,0,0
AB1212,16.666666666666668,1.6666666666666667,0,0,1,1,0,1,0,0
AB1359,20.0,0.42857142857142855,1,0,1,1,0,1,0,0
AB1960,75.0,1.5,0,0,1,1,0,1,0,0
AB2056,65.0,4.0,1,2,1,1,0,1,0,0
AB2419,35.0,1.0,1,0,1,1,0,1,0,0
AB2451,25.0,2.0,0,2,1,1,0,1,0,0
AB2533,0.0,1.0,0,0,1,1,0,1,0,0
AB2658,70.0,1.5,2,0,1,2,0,0,0,0
AB2727,25.0,1.0,0,0,1,0,0,0,0,0
AB2997,43.333333333333336,3.3333333333333335,1,2,1,1,0,2,0,0
AB3211,45.0,1.0,0,0,1,1,0,1,0,0
AB3251,50.0,1.5,0,0,1,1,0,2,0,0
AB3560,85.0,0.5,0,0,1,1,0,0,0,0
