,Null_Count,Missing_Percentage
Contact_ID,0,0.0
Call_Date,0,0.0
Direction,0,0.0
cc_care_package,0,0.0
cc_care_package_discussed,23,0.07
cc_urgency_getting_on_site,23,0.07
cc_external_consultant,23,0.07
cc_agent_cross_sell_attempt,43,0.13
cc_customer_issues_concerns,28,0.09
cc_business_struggles_financial_hardship,25,0.08
cc_call_initiated_by,182,0.56
cc_questionnaire_completion,11,0.03
cc_chasing_response,193,0.59
cc_issues_within_questionnaire,118,0.36
cc_login_issues,20,0.06
cc_platform_issues,12,0.04
cc_dissatisfaction_time_to_complete,11,0.03
cc_process_complexity_concerns,33,0.1
cc_questions_harder_than_expected,14,0.04
cc_dissatisfaction_support,12,0.04
cc_contractor_sentiment,2555,7.79
cc_contractor_sentiment_start_score,244,0.74
cc_contractor_sentiment_end_score,243,0.74
cc_contractor_sentiment_overall_score,4935,15.05
cc_contractor_sentiment_issues_score,21422,65.33
cc_pricing_mentioned,63,0.19
cc_pricing_sentiment_impact,17,0.05
cc_refund_discussed,8,0.02
cc_contractor_suggest_leave,73,0.22
cc_contractor_complained,13,0.04
Co_Ref,0,0.0
Analysed_Call,0,0.0
Call_Year,0,0.0
